date,state,fips,cases,deaths
2021-01-11,Louisiana,22,348234,7918
2021-01-11,Maine,23,29611,438
2021-01-11,Maryland,24,309874,6301
2021-01-11,Massachusetts,25,437042,13206
2021-01-11,Michigan,26,565231,14183
2021-01-11,Minnesota,27,437620,5779
2021-01-11,Mississippi,28,240309,5186
2021-01-11,Missouri,29,459493,6336
2021-01-11,Montana,30,86757,1057
2021-01-11,Nebraska,31,177655,1835
2021-01-11,Nevada,32,250471,3503
2021-01-11,New Hampshire,33,52307,869
2021-01-11,New Jersey,34,590165,19932
2021-01-11,New Mexico,35,157087,2766
2021-01-11,New York,36,1150028,39404
2021-01-11,North Carolina,37,631345,7635
2021-01-11,North Dakota,38,94838,1360
2021-01-11,Northern Mariana Islands,69,125,2
2021-01-11,Ohio,39,784957,9702
2021-01-11,Oklahoma,40,335247,2775
2021-01-11,Oregon,41,126607,1628
2021-01-11,Pennsylvania,42,731967,17861
2021-01-11,Puerto Rico,72,117083,1642
2021-01-11,Rhode Island,44,100607,1947
2021-01-11,South Carolina,45,357654,5826
2021-01-11,South Dakota,46,103499,1585
2021-01-11,Tennessee,47,645378,7795
2021-01-11,Texas,48,1989821,30720
2021-01-11,Utah,49,307502,1400
2021-01-11,Vermont,50,9078,156
2021-01-11,Virgin Islands,78,2042,23
2021-01-11,Virginia,51,403386,5393
2021-01-11,Washington,53,281071,3793
2021-01-11,West Virginia,54,102282,1594
2021-01-11,Wisconsin,55,551942,5576
2021-01-11,Wyoming,56,47395,489
2021-01-12,Alabama,01,407848,5573
2021-01-12,Alaska,02,50243,216
2021-01-12,Arizona,04,638739,10537
2021-01-12,Arkansas,05,259553,4121
2021-01-12,California,06,2816366,31105
2021-01-12,Colorado,08,366385,5326
2021-01-12,Connecticut,09,217047,6449
2021-01-12,Delaware,10,66446,991
2021-01-12,District of Columbia,11,32423,825
2021-01-12,Florida,12,1503474,23226
2021-01-12,Georgia,13,749417,11297
2021-01-12,Guam,66,8398,125
2021-01-12,Hawaii,15,23570,306
2021-01-12,Idaho,16,151474,1563
2021-01-12,Illinois,17,1043041,19497
2021-01-12,Indiana,18,573505,9104
2021-01-12,Iowa,19,299254,4222
2021-01-12,Kansas,20,250646,3255
2021-01-12,Kentucky,21,312316,3284
2021-01-12,Louisiana,22,352939,7971
2021-01-12,Maine,23,30326,449
2021-01-12,Maryland,24,312534,6367
2021-01-12,Massachusetts,25,442529,13273
2021-01-12,Michigan,26,567901,14286
2021-01-12,Minnesota,27,438935,5792
2021-01-12,Mississippi,28,241957,5284
2021-01-12,Missouri,29,462085,6495
2021-01-12,Montana,30,87179,1067
2021-01-12,Nebraska,31,178690,1859
2021-01-12,Nevada,32,253100,3551
2021-01-12,New Hampshire,33,53148,878
2021-01-12,New Jersey,34,594751,20039
2021-01-12,New Mexico,35,157974,2796
2021-01-12,New York,36,1164819,39588
2021-01-12,North Carolina,37,636681,7687
2021-01-12,North Dakota,38,94976,1363
2021-01-12,Northern Mariana Islands,69,128,2
2021-01-12,Ohio,39,792938,9802
2021-01-12,Oklahoma,40,337457,2804
2021-01-12,Oregon,41,127791,1669
2021-01-12,Pennsylvania,42,739212,18091
2021-01-12,Puerto Rico,72,118042,1645
2021-01-12,Rhode Island,44,101393,1970
2021-01-12,South Carolina,45,359357,5860
2021-01-12,South Dakota,46,103743,1585
2021-01-12,Tennessee,47,649227,7941
2021-01-12,Texas,48,2017036,31017
2021-01-12,Utah,49,309629,1422
2021-01-12,Vermont,50,9247,158
2021-01-12,Virgin Islands,78,2166,24
2021-01-12,Virginia,51,407947,5477
2021-01-12,Washington,53,283363,3869
2021-01-12,West Virginia,54,103203,1634
2021-01-12,Wisconsin,55,555249,5635
2021-01-12,Wyoming,56,48072,522
2021-01-13,Alabama,01,410995,5760
2021-01-13,Alaska,02,50526,217
2021-01-13,Arizona,04,643683,10689
2021-01-13,Arkansas,05,262020,4186
2021-01-13,California,06,2858041,31653
2021-01-13,Colorado,08,368775,5354
2021-01-13,Connecticut,09,220576,6536
2021-01-13,Delaware,10,67173,994
2021-01-13,District of Columbia,11,32600,831
2021-01-13,Florida,12,1517464,23395
2021-01-13,Georgia,13,757993,11435
2021-01-13,Guam,66,8413,125
2021-01-13,Hawaii,15,23663,309
2021-01-13,Idaho,16,152560,1576
2021-01-13,Illinois,17,1048784,19619
2021-01-13,Indiana,18,577153,9163
2021-01-13,Iowa,19,301161,4232
2021-01-13,Kansas,20,255200,3355
2021-01-13,Kentucky,21,316673,3324
2021-01-13,Louisiana,22,355835,8022
2021-01-13,Maine,23,31150,453
2021-01-13,Maryland,24,315055,6404
